transaction_id,instrument_id,instrument_name,instrument_industry,industry_sector,buy_or_sell,units,transaction_date,transaction_time,account_number,account_first_name,account_last_name,account_gender,account_country,account_city
a5ecf56a-bf5f-46fb-bb0b-fa7f77e7cc43,EIG,Employers Holdings Inc,Property-Casualty Insurers,Finance,BUY,3894,7/5/2018,9:24,2,Shandeigh,Bautiste,Female,Brazil,Franca
6407d3f1-b993-45ae-a736-641e1396306d,MMAC,"MMA Capital Management, LLC",Real Estate,Finance,BUY,2169,3/6/2019,22:16,4,Alejandra,Dewey,Female,Cuba,Sibanicú
8f4acafd-09e6-430f-98a3-9c7c8f25dc42,ETR,Entergy Corporation,Electric Utilities: Central,Public Utilities,BUY,1700,5/17/2018,1:01,5,Darlene,Leglise,Female,China,Baishuiyang
46e675ab-aea6-4c60-8288-dce024ae55bd,EDU,"New Oriental Education & Technology Group, Inc.",Other Consumer Services,Consumer Services,BUY,6297,1/23/2019,4:54,10,Levin,Fallawe,Male,China,Liuji
8626840c-a0e2-403b-86b3-57beffb37c59,EZPW,"EZCORP, Inc.",Other Specialty Stores,Consumer Services,BUY,8128,6/22/2018,0:09,11,Kate,Millican,Female,Ukraine,Rakhiv
e5c813f6-5e7c-43e3-ab30-4c3a136d59dd,UBNT,"Ubiquiti Networks, Inc.",Radio And Television Broadcasting And Communications Equipment,Technology,BUY,3499,9/11/2018,5:08,19,Romeo,Jowling,Male,Chad,Mao
3e564bb0-ad24-4ae6-940f-8fe51b50e0b1,RIC,"Richmont Mines, Inc.",Precious Metals,Basic Industries,BUY,5899,8/28/2018,19:59,26,Abey,Vickers,Male,Kyrgyzstan,Isfana
c41e6639-ba65-43f8-b1d5-629685f36dc3,FIVN,"Five9, Inc.",EDP Services,Technology,BUY,9300,10/14/2018,20:17,27,Sherline,Boribal,Female,Tanzania,Namikupa
708b6c79-06fd-452b-b795-4a520a785a15,THR,"Thermon Group Holdings, Inc.",Industrial Machinery/Components,Energy,BUY,582,5/8/2018,4:00,30,Christal,Flobert,Female,Canada,Mont-Royal
3456de98-52b9-43c6-bac1-823ba3ddb697,PFSI,"PennyMac Financial Services, Inc.",Finance: Consumer Services,Finance,BUY,979,9/27/2018,6:38,31,Dennie,Rykert,Female,Indonesia,Tanahwulan
bd4b2cf2-aa87-4509-8df5-a0307787fa26,HK.WS,Halcon Resources Corporation,n/a,n/a,BUY,6983,5/9/2018,8:33,32,Mayor,Ambroziak,Male,Morocco,Tifni
1643a1db-ef27-4c65-b9a6-7e09fe9902f7,FGL,Fidelity and Guaranty Life,Life Insurance,Finance,BUY,6941,11/5/2018,10:12,33,Artair,Starford,Male,Ukraine,Kamennyye Potoki
01371ef1-977e-4cae-905b-7387acaaecaf,CREE,"Cree, Inc.",Semiconductors,Technology,BUY,9683,8/25/2018,13:11,36,Merrile,Emanuel,Female,China,Ziyang
d7d3f193-a280-4d14-b9c5-f9ee6877cba7,TSEM,Tower Semiconductor Ltd.,Semiconductors,Technology,BUY,8793,1/30/2019,15:22,40,Gillie,Wimpey,Female,Israel,Kefar Tavor
1bd09307-b392-4815-a2cd-c3fc25e084e2,DRWI,DragonWave Inc,Telecommunications Equipment,Public Utilities,BUY,3884,7/5/2018,22:35,43,Leila,Adam,Female,Serbia,Kikinda
bddeaff2-c626-4b0f-8aaf-2d0f701e9210,AMG,"Affiliated Managers Group, Inc.",Investment Managers,Finance,BUY,9729,7/11/2018,19:42,46,Luther,Kunc,Male,North Korea,Yuktae-dong
3b3e6513-e99b-43f8-bd7c-5d7ff6db5ddf,AGN,Allergan plc.,Major Pharmaceuticals,Health Care,BUY,807,9/19/2018,20:31,48,Zitella,Cumming,Female,Indonesia,Cibinong
34280e28-8902-4c10-90fb-47114fc75740,EHIC,eHi Car Services Limited,Rental/Leasing Companies,Consumer Services,BUY,638,9/20/2018,17:14,50,Nessa,Leahy,Female,Sweden,Valbo
a986e135-13d0-439f-b4b8-73f00422d444,EAI,"Entergy Arkansas, Inc.",Electric Utilities: Central,Public Utilities,BUY,4282,3/8/2019,19:15,52,Crin,Gilfillan,Female,Greece,Foúrnoi
db4efbec-45b4-4e9c-be2b-87ece7dfe2a1,AHC,A.H. Belo Corporation,Newspapers/Magazines,Consumer Services,BUY,5962,1/30/2019,14:58,53,Marsh,Botwright,Male,Poland,Podedwórze
eb58fdb4-6962-4bc0-90fb-f879029d4b91,EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,n/a,n/a,BUY,3851,5/25/2018,7:04,54,Merle,MacKonochie,Female,Indonesia,Tanahgrogot
5f0d43e9-c076-41e0-84c4-fbe659c78043,ELS^C,"Equity Lifestyle Properties, Inc.",n/a,n/a,BUY,9946,8/14/2018,21:34,55,Shadow,Skerritt,Male,China,Poxi
00499fd4-3a37-49ca-9f15-edd78d362159,INSY,"Insys Therapeutics, Inc.",Major Pharmaceuticals,Health Care,BUY,4466,12/20/2018,10:33,57,Merralee,Eatock,Female,Lithuania,Rusnė
1acf335b-1dd7-4d9c-8f9f-4546d9f2ecb7,MDWD,MediWound Ltd.,Specialty Chemicals,Consumer Durables,BUY,3012,8/21/2018,5:42,58,Darci,Hannabuss,Female,China,Hetou
8e3b6362-1c08-4f58-a79c-1f19def0c5af,BVXVW,BiondVax Pharmaceuticals Ltd.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,BUY,206,11/29/2018,0:01,59,Rhianna,Noice,Female,Philippines,Bulacnin
c0424c3a-6168-425d-b410-081120847428,ABR,Arbor Realty Trust,Real Estate Investment Trusts,Consumer Services,BUY,1635,7/7/2018,12:55,61,Teodor,Klimschak,Male,Russia,Krasnolesnyy
ceaf0573-8de9-409c-9e03-abd5fd1be658,HBNC,Horizon Bancorp (IN),Major Banks,Finance,BUY,7580,10/10/2018,19:38,62,Lek,Pocknoll,Male,Brazil,Valença
a94177a7-a6a1-4c6d-8d29-fe7f00d62d1f,MPV,Barings Participation Investors,n/a,n/a,BUY,7487,3/24/2019,12:08,69,Cyndy,Rising,Female,Mexico,Jose Maria Morelos
166ce392-5cde-4bdc-8f77-91e6057b29ff,IHD,Voya Emerging Markets High Income Dividend Equity Fund,n/a,n/a,BUY,2636,4/10/2019,3:08,72,Pauline,Dreinan,Female,Czech Republic,Petřvald
f4244d47-da8a-4115-9d68-f1e947173037,DEST,Destination Maternity Corporation,Clothing/Shoe/Accessory Stores,Consumer Services,BUY,2519,6/26/2018,7:37,73,Melisa,Filmer,Female,Croatia,Baška Voda
5fdb3e10-d26a-451d-9b87-3669f8701af4,SINA,Sina Corporation,Computer Software: Prepackaged Software,Technology,BUY,8287,3/15/2019,18:01,74,Seward,Shadbolt,Male,Philippines,Canjulao
bb6c2c64-2728-492c-b4c8-d0e07575775a,FSS,Federal Signal Corporation,Auto Manufacturing,Capital Goods,BUY,4190,9/24/2018,6:13,76,Ramsey,Frie,Male,China,Xincheng
6e266fd2-9c69-41b7-816b-9534cd20f879,ALJ,"Alon USA Energy, Inc.",Integrated oil Companies,Energy,BUY,8492,8/31/2018,9:12,77,Sheree,Northing,Female,Mexico,La Palma
86eb4860-97c1-476a-aa92-b08445687589,GNCA,"Genocea Biosciences, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,BUY,513,7/13/2018,11:06,78,Clark,Skinner,Male,Tunisia,Skhira
40346178-8dca-4df6-b910-969bf740b658,TEO,Telecom Argentina Stet - France Telecom S.A.,Telecommunications Equipment,Public Utilities,BUY,4347,12/21/2018,14:07,81,Lenora,Dable,Female,China,Lijia
bcb66862-62d7-46c1-a0dc-db240592250a,POR,Portland General Electric Company,Electric Utilities: Central,Public Utilities,BUY,6545,7/27/2018,10:19,84,Heida,McCobb,Female,Poland,Czchów
759a14c4-016b-4b8f-a269-dbf4b660aed5,CLVS,"Clovis Oncology, Inc.",Major Pharmaceuticals,Health Care,BUY,3979,7/2/2018,10:51,85,Wrennie,Pallatina,Female,Poland,Piotrków Trybunalski
f9338bc4-9995-40c4-9c1e-64036dc47210,GPIC,Gaming Partners International Corporation,Recreational Products/Toys,Consumer Non-Durables,BUY,2568,4/1/2019,6:55,87,Betteanne,O'Canavan,Female,China,Erdao
d7097e1f-3c64-4a07-8d6b-5ffb9d19f90c,ARLZ,Aralez Pharmaceuticals Inc.,Major Pharmaceuticals,Health Care,BUY,7889,5/3/2018,4:29,89,Tobey,Birth,Female,China,Xincun
239016b4-d396-4b65-98d9-2df6970797ae,HELE,Helen of Troy Limited,Home Furnishings,Consumer Durables,BUY,8285,11/9/2018,21:21,92,Melisa,Baudassi,Female,Honduras,San Juan de Planes
c852c284-d550-483d-82f3-ed9b9299bf46,QTWO,"Q2 Holdings, Inc.",Computer Software: Prepackaged Software,Technology,BUY,5996,4/22/2018,5:43,94,Torrey,Scoyles,Male,Indonesia,Campurrejo
abe948b0-6d51-46cd-afc4-318bf0ecaf75,T,AT&T Inc.,Telecommunications Equipment,Public Utilities,BUY,8751,2/28/2019,6:18,95,Levin,Duerdin,Male,Canada,Casselman
9bd03c5f-c7f1-4efa-9d21-0b7c205c7d1e,AGFSW,"AgroFresh Solutions, Inc.",Business Services,Finance,BUY,9472,6/9/2018,14:15,96,Brit,Glisenan,Female,Indonesia,Wewit
6d4186ea-41a0-4f94-9759-ee761012b2a2,FINX,Global X FinTech ETF,n/a,n/a,BUY,6902,6/17/2018,10:43,97,Anastasie,Shimmin,Female,Yemen,Al Maḩjal
6998434c-530b-4012-bc38-efe0db4b1afc,MORN,"Morningstar, Inc.",Investment Managers,Finance,BUY,7972,9/15/2018,22:26,100,Aaren,Grace,Female,Austria,Sankt Andrä-Höch
e4c3338e-25ed-437b-89cf-d0c57bffa445,AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,n/a,n/a,BUY,9233,3/18/2019,20:04,101,Sig,Pioli,Male,Poland,Kolsko
8ee48895-bb1d-4d42-9f10-893ec85281ad,NXR,Nuveen Select Tax Free Income Portfolio III,n/a,n/a,BUY,2613,3/27/2019,10:47,103,Renate,Chessill,Female,Myanmar,Syriam
3274d10f-406d-4764-832c-975a7796d803,ECA,Encana Corporation,Oil & Gas Production,Energy,BUY,1295,9/18/2018,7:01,104,Rebekkah,Bowry,Female,Indonesia,Anin
f4af6fb0-974c-42cc-93c8-79b2355a8bbb,SUP,"Superior Industries International, Inc.",Auto Parts:O.E.M.,Capital Goods,BUY,6365,4/12/2019,19:07,105,Eben,Skocroft,Male,China,Wujian
824b486c-d715-43e1-8cae-290da2ec8772,MRT,"MedEquities Realty Trust, Inc.",Real Estate Investment Trusts,Consumer Services,BUY,9199,5/23/2018,1:02,108,Jessalin,Saladine,Female,China,Siyang
75795c3a-9d4a-4811-a1cd-786225b5f3c0,PCH,Potlatch Corporation,Real Estate Investment Trusts,Consumer Services,BUY,9713,12/3/2018,18:26,110,Patric,Carnock,Male,Philippines,Himensulan
bf0b71ad-ead6-423a-9419-31c15600eac7,APH,Amphenol Corporation,Electrical Products,Capital Goods,BUY,5138,3/30/2019,7:26,112,Gabe,Musker,Male,Indonesia,Mulyo
30f466a0-124f-4c29-9ed5-547d48c32544,CHDN,"Churchill Downs, Incorporated",Services-Misc. Amusement & Recreation,Consumer Services,BUY,489,2/14/2019,3:48,113,Hestia,Leftbridge,Female,Guatemala,San Miguel Chicaj
58aa24be-0a87-4f62-afc2-20ca0aa75d4a,BRO,"Brown & Brown, Inc.",Specialty Insurers,Finance,BUY,8215,4/12/2019,6:51,114,Larry,Barrabeale,Male,China,Tuanzhou
79782f5f-350c-4e3e-b82c-22f5330e6dce,PGLC,Pershing Gold Corporation,Precious Metals,Basic Industries,BUY,8708,11/25/2018,7:27,117,Lucho,Peirone,Male,Brazil,Não Me Toque
28e1f338-f318-455b-a667-d1839852b54d,VTNR,"Vertex Energy, Inc",Integrated oil Companies,Energy,BUY,550,11/3/2018,14:31,121,Georgetta,Adshede,Female,Canada,Magog
5438dee1-129a-44b4-9aa5-37923cdac7c6,FEYE,"FireEye, Inc.",Computer peripheral equipment,Technology,BUY,712,1/23/2019,23:44,122,Jo,Newing,Male,China,Pingling
1aad1c47-1f38-4d40-a4c2-e05b5ed42fc0,OII,"Oceaneering International, Inc.",Oilfield Services/Equipment,Energy,BUY,968,11/30/2018,23:24,123,Leilah,Yemm,Female,Indonesia,Masaran
c2748302-263b-4396-bc4c-c35896c299d7,FDP,"Fresh Del Monte Produce, Inc.",Farming/Seeds/Milling,Consumer Non-Durables,BUY,3652,6/10/2018,6:39,126,Oriana,Westwell,Female,Poland,Gierałtowice
