account_number,first_name,last_name,gender,country,city,street_address,phone,email,supports_fair_trade_min,humane_work_conditions_min,humane_to_women_min,humane_to_children_min,humane_to_animals_min,avoids_blood_diamonds_min,avoids_weapons_min,avoids_tobacco_min,avoids_gambling_min,avoids_alcohol_min,protects_environment_min
1,Wallas,Popple,Male,Macedonia,Shtip,73 Veith Way,420-608-4508,wpopple0@vinaora.com,2,2,2,1,4,3,4,3,3,1,5
2,Shandeigh,Bautiste,Female,Brazil,Franca,584 Starling Park,371-579-2388,sbautiste1@yahoo.com,5,1,5,4,2,2,2,3,2,4,4
3,Flori,Fishly,Female,China,Meipu,80707 Little Fleur Point,812-336-2498,ffishly2@biblegateway.com,3,4,4,5,5,2,5,3,4,2,1
4,Alejandra,Dewey,Female,Cuba,Sibanicú,18 Porter Circle,947-516-4203,adewey3@shinystat.com,4,2,1,5,4,3,3,3,2,5,3
5,Darlene,Leglise,Female,China,Baishuiyang,8 Crest Line Alley,914-469-1134,dleglise4@cocolog-nifty.com,4,3,3,2,5,3,4,4,2,4,5
6,Ciel,Clewarth,Female,Peru,Lampa,5137 Hayes Junction,983-658-6750,cclewarth5@ovh.net,2,5,3,1,5,3,1,5,1,1,2
7,Emalia,Spearing,Female,China,Jiji,1 Bonner Avenue,399-687-5049,espearing6@un.org,2,5,2,3,4,4,5,2,3,4,1
8,Olympe,Traviss,Female,Portugal,Seixo,0296 Northridge Way,424-276-2193,otraviss7@deviantart.com,1,3,5,1,1,1,2,1,3,3,1
9,Cinderella,Chong,Female,Japan,Sasayama,657 Talisman Junction,587-920-4497,cchong8@jiathis.com,4,4,4,5,5,4,3,5,4,1,5
10,Levin,Fallawe,Male,China,Liuji,8 Shopko Crossing,203-709-5099,lfallawe9@last.fm,4,1,5,3,4,3,3,3,5,5,3
11,Kate,Millican,Female,Ukraine,Rakhiv,6 Spaight Drive,192-460-8234,kmillicana@mashable.com,1,4,1,3,3,4,2,2,2,4,1
12,Albina,Eplate,Female,Albania,Belsh,07712 Vermont Place,974-252-9077,aeplateb@reference.com,2,5,3,1,2,2,2,4,4,5,3
13,Cosmo,Marjanski,Male,Poland,Zgłobień,1045 Spohn Drive,391-817-9011,cmarjanskic@adobe.com,5,2,5,2,3,2,1,5,1,1,2
14,Paten,Salzberger,Male,Poland,Koniaków,618 Muir Trail,987-911-7721,psalzbergerd@webnode.com,4,5,4,3,2,1,3,5,5,2,5
15,Drona,Gipp,Female,Indonesia,Nangewer,570 Towne Parkway,965-569-8361,dgippe@umich.edu,2,1,4,2,2,4,2,1,4,1,5
16,Brittan,Egginson,Female,Indonesia,Kubangsari,6803 Hallows Park,918-828-8999,begginsonf@nytimes.com,1,2,2,4,5,1,4,2,1,2,3
17,Ermanno,Strother,Male,Indonesia,Sila,8408 Emmet Avenue,709-302-2199,estrotherg@usnews.com,2,1,2,5,5,2,2,2,1,1,3
18,Ilene,Fogarty,Female,Philippines,Panikihan,42 Rigney Junction,749-247-7419,ifogartyh@ebay.co.uk,4,2,4,5,5,4,2,2,4,1,4
