transaction_id,instrument_id,instrument_name,instrument_industry,industry_sector,buy_or_sell,units,transaction_date,transaction_time,account_number,account_first_name,account_last_name,account_gender,account_country,account_city
e19f7b44-0db2-4f9f-a33b-fef691a3fe0a,TEL,TE Connectivity Ltd.,Electronic Components,Consumer Non-Durables,SELL,8693,2018-05-16,5:33,1,Wallas,Popple,Male,Macedonia,Shtip
a5ecf56a-bf5f-46fb-bb0b-fa7f77e7cc43,EIG,Employers Holdings Inc,Property-Casualty Insurers,Finance,BUY,3894,2018-07-05,9:24,2,Shandeigh,Bautiste,Female,Brazil,Franca
90e2fc43-53df-4ece-a413-dc59c837231c,DGICA,"Donegal Group, Inc.",Property-Casualty Insurers,Finance,SELL,2360,2019-02-08,5:06,3,Flori,Fishly,Female,China,Meipu
6407d3f1-b993-45ae-a736-641e1396306d,MMAC,"MMA Capital Management, LLC",Real Estate,Finance,BUY,2169,2019-03-06,22:16,4,Alejandra,Dewey,Female,Cuba,Sibanicú
8f4acafd-09e6-430f-98a3-9c7c8f25dc42,ETR,Entergy Corporation,Electric Utilities: Central,Public Utilities,BUY,1700,2018-05-17,1:01,5,Darlene,Leglise,Female,China,Baishuiyang
9f8e1b9d-52db-47b2-bd8f-e9793cb6b29e,PFN,PIMCO Income Strategy Fund II,n/a,n/a,SELL,9334,2018-10-30,9:56,6,Ciel,Clewarth,Female,Peru,Lampa
726ecefd-f0d5-43e6-bc71-38768bd0bc96,IHD,Voya Emerging Markets High Income Dividend Equity Fund,n/a,n/a,SELL,2742,2018-07-25,21:02,7,Emalia,Spearing,Female,China,Jiji
cc5d0aeb-9c38-45d7-ba02-7317714f0fb3,LBTYK,Liberty Global plc,Television Services,Consumer Services,SELL,789,2018-08-13,4:01,8,Olympe,Traviss,Female,Portugal,Seixo
9a8495f6-b655-4244-8603-4eadbf91f6db,BNTCW,Benitec Biopharma Limited,Major Pharmaceuticals,Health Care,SELL,7946,2018-12-09,8:57,9,Cinderella,Chong,Female,Japan,Sasayama
46e675ab-aea6-4c60-8288-dce024ae55bd,EDU,"New Oriental Education & Technology Group, Inc.",Other Consumer Services,Consumer Services,BUY,6297,2019-01-23,4:54,10,Levin,Fallawe,Male,China,Liuji
8626840c-a0e2-403b-86b3-57beffb37c59,EZPW,"EZCORP, Inc.",Other Specialty Stores,Consumer Services,BUY,8128,2018-06-22,0:09,11,Kate,Millican,Female,Ukraine,Rakhiv
ef2155f8-6ccd-43a8-a3bd-4729fd372ec4,FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,n/a,n/a,SELL,8625,2018-09-28,14:02,12,Albina,Eplate,Female,Albania,Belsh
cbf2f050-a056-4111-a7e4-f1e2d4487cdd,BKE,"Buckle, Inc. (The)",Clothing/Shoe/Accessory Stores,Consumer Services,SELL,4074,2018-09-14,12:27,13,Cosmo,Marjanski,Male,Poland,Zgłobień
084d8d5d-09c9-4e47-8f52-33b66ce7a658,MDGS,Medigus Ltd.,Medical/Dental Instruments,Health Care,SELL,9710,2019-04-05,18:48,14,Paten,Salzberger,Male,Poland,Koniaków
71d28ee3-13de-4039-89e0-cbb6ea69df43,CNBKA,"Century Bancorp, Inc.",Major Banks,Finance,SELL,2552,2019-01-16,16:20,15,Drona,Gipp,Female,Indonesia,Nangewer
