transaction_id,instrument_id,instrument_name,instrument_industry,industry_sector,buy_or_sell,units,transaction_date,transaction_time,account_number,account_first_name,account_last_name,account_gender,account_country,account_city
07e1d208-033f-4be2-a29e-8181553d3421,VDSI,"VASCO Data Security International, Inc.",EDP Services,Technology,BUY,1698,2017-10-17,16:42,1,Wallas,Popple,Male,Macedonia,Shtip
a8ba6d41-14cc-44df-8262-d99088b09041,VBLT,Vascular Biogenics Ltd.,Major Pharmaceuticals,Health Care,BUY,9326,2016-12-02,8:39,2,Shandeigh,Bautiste,Female,Brazil,Franca
0bcc05f2-0ee5-4e2e-be7f-b76174ccb286,TRTN,Triton International Limited,Diversified Commercial Services,Technology,SELL,401,2017-02-05,5:32,3,Flori,Fishly,Female,China,Meipu
b0d3dfa2-e27d-4a95-bd3a-707640a94aec,KORS,Michael Kors Holdings Limited,Apparel,Consumer Non-Durables,BUY,2546,2016-05-06,20:18,4,Alejandra,Dewey,Female,Cuba,Sibanicú
5fd40348-9d43-4aef-97b7-606c3d33b314,ES,Eversource Energy,Electric Utilities: Central,Public Utilities,SELL,2853,2017-02-14,5:53,5,Darlene,Leglise,Female,China,Baishuiyang
3d9740ba-8a1c-4e8b-b954-9b13f1ca9c91,DWAT,Arrow DWA Tactical ETF,n/a,n/a,BUY,5191,2017-07-09,7:45,6,Ciel,Clewarth,Female,Peru,Lampa
cea7fad5-490d-477e-aa1b-8ea0fea23b60,MNTX,"Manitex International, Inc.",Industrial Machinery/Components,Technology,BUY,2954,2016-10-23,3:06,7,Emalia,Spearing,Female,China,Jiji
4968c3b4-8e02-41bf-8891-3dbf8ec6a3ca,HOTR,"Chanticleer Holdings, Inc.",Restaurants,Consumer Services,BUY,6402,2016-09-27,5:00,8,Olympe,Traviss,Female,Portugal,Seixo
0d73c1ce-3cef-4806-8492-59eda7a1cf05,CIM^B,Chimera Investment Corporation,n/a,n/a,SELL,4711,2017-10-24,14:29,9,Cinderella,Chong,Female,Japan,Sasayama
02d6f016-de53-4628-a733-a5392633c841,TGTX,"TG Therapeutics, Inc.",Major Pharmaceuticals,Health Care,BUY,1993,2016-07-13,19:35,10,Levin,Fallawe,Male,China,Liuji
be74c311-9550-4294-b0c7-afdb9567685c,UBFO,United Security Bancshares,Major Banks,Finance,BUY,155,2017-02-16,14:07,11,Kate,Millican,Female,Ukraine,Rakhiv
3d729bf2-f109-4728-8670-aafa7ef1907b,AMSWA,"American Software, Inc.",Computer Software: Prepackaged Software,Technology,SELL,7966,2017-07-05,9:52,12,Albina,Eplate,Female,Albania,Belsh
65b8144f-f56b-4516-84a0-52bf54069c9b,ESGR,Enstar Group Limited,Property-Casualty Insurers,Finance,BUY,7191,2017-11-11,7:19,13,Cosmo,Marjanski,Male,Poland,Zgłobień
f9440310-c312-4117-9e59-6f9af5aaf893,PDEX,"Pro-Dex, Inc.",Medical/Dental Instruments,Health Care,SELL,4537,2016-12-23,18:25,14,Paten,Salzberger,Male,Poland,Koniaków
0f4fdf2c-0283-48e7-848f-fb86330c2a45,CPA,"Copa Holdings, S.A.",Air Freight/Delivery Services,Transportation,SELL,3358,2018-01-03,0:39,15,Drona,Gipp,Female,Indonesia,Nangewer
74c7072d-dcf9-4fca-be34-8a8b0be081d5,BBRG,"Bravo Brio Restaurant Group, Inc.",Restaurants,Consumer Services,BUY,4904,2016-09-21,3:03,16,Brittan,Egginson,Female,Indonesia,Kubangsari
0e700ec5-e98e-4c5e-9f42-514e1ec6f1f5,LN,LINE Corporation,"Computer Software: Programming, Data Processing",Technology,BUY,2674,2017-08-08,16:33,17,Ermanno,Strother,Male,Indonesia,Sila
1a2d0e2a-6bcb-4cfe-864c-c0799d18c61e,CFRX,ContraFect Corporation,Major Pharmaceuticals,Health Care,SELL,7854,2016-04-26,9:33,18,Ilene,Fogarty,Female,Philippines,Panikihan
fc4071ae-ada2-4b5c-b0f5-e3d3061f42e7,NCTY,The9 Limited,Business Services,Miscellaneous,SELL,4550,2017-02-15,0:08,19,Romeo,Jowling,Male,Chad,Mao
b2fe3ca5-f5ac-481f-ab80-9b2d445a17fa,VET,Vermilion Energy Inc.,Oil & Gas Production,Energy,SELL,9622,2017-12-05,2:15,20,Elysee,Fellow,Female,Russia,Chechen-Aul
17d89a7b-e132-4945-b922-3d8d2aac8979,USB,U.S. Bancorp,Major Banks,Finance,SELL,7799,2016-11-26,21:19,21,Darb,Bromet,Male,China,Baisha
b078c2e9-962b-48b5-ab0c-dbc3037b5eaa,LITB,"LightInTheBox Holding Co., Ltd.",Catalog/Specialty Distribution,Consumer Services,SELL,8408,2017-08-15,22:10,22,Rivi,Annon,Female,Sweden,Göteborg
3b4ba284-b487-4813-a1ea-d01003025227,INOV,"Inovalon Holdings, Inc.",EDP Services,Technology,BUY,7633,2017-07-01,19:20,23,Ody,Mullins,Male,Kazakhstan,Balqash
6bb39843-920d-4daf-a01e-f34392ca85ae,DGII,Digi International Inc.,Computer Communications Equipment,Technology,BUY,9004,2017-08-04,5:25,24,Jameson,Shackel,Male,Netherlands,Lelystad
728b99c0-f656-49b5-be1a-472622214351,INWK,"InnerWorkings, Inc.",Containers/Packaging,Consumer Durables,SELL,2453,2017-05-27,15:47,25,Sephira,Dennidge,Female,Brazil,Santa Isabel
9a1f1dca-9ec7-42c4-a7c8-7684fe035ea4,FNB,F.N.B. Corporation,Major Banks,Finance,BUY,3353,2018-01-22,4:21,26,Abey,Vickers,Male,Kyrgyzstan,Isfana
dcadaa7d-4b5f-4be8-8a60-df76c6062363,ESRX,Express Scripts Holding Company,Medical/Nursing Services,Health Care,BUY,1037,2017-09-29,15:13,27,Sherline,Boribal,Female,Tanzania,Namikupa
196371c5-f38e-4a2f-bb58-36d54257fceb,STKS,"The ONE Group Hospitality, Inc.",Restaurants,Consumer Services,SELL,8455,2016-04-30,5:22,28,Vina,Manoelli,Female,Japan,Ōnojō
b6de5397-709c-4dab-be43-15c3465a1528,TRST,TrustCo Bank Corp NY,Major Banks,Finance,SELL,6229,2018-02-19,14:30,29,Mame,Rowesby,Female,Finland,Kouvola
0611ff73-3c73-4ab9-9249-72024c04964b,LSBK,"Lake Shore Bancorp, Inc.",Savings Institutions,Finance,BUY,3352,2017-05-10,2:36,30,Christal,Flobert,Female,Canada,Mont-Royal
343e476f-561c-4c1b-bbbf-aeae1ad41215,NTRS,Northern Trust Corporation,Major Banks,Finance,BUY,6692,2018-03-20,12:33,31,Dennie,Rykert,Female,Indonesia,Tanahwulan
44b7d838-ad8c-4e72-b095-4668f174eca0,NFX,Newfield Exploration Company,Oil & Gas Production,Energy,SELL,2755,2018-03-07,22:46,32,Mayor,Ambroziak,Male,Morocco,Tifni
1535c611-9300-43b3-9aa1-e26870d4a1f0,MXL,"MaxLinear, Inc",Semiconductors,Technology,SELL,313,2016-05-26,7:20,33,Artair,Starford,Male,Ukraine,Kamennyye Potoki
658cb72c-f1bb-4c04-a3fc-4644504b03d5,ANSS,"ANSYS, Inc.",Computer Software: Prepackaged Software,Technology,BUY,4308,2016-12-29,7:22,34,Fianna,Coggings,Female,Sweden,Hässleholm
8dec21ad-5ce0-4aec-9572-7daddb3d04d6,TCO^J,"Taubman Centers, Inc.",n/a,n/a,BUY,1268,2017-03-29,7:02,35,Lorelle,Tremonte,Female,Indonesia,Oenpeotnai
b1a98be9-779d-4adf-bb3a-bf430aa8cc82,FMO,Fiduciary/Claymore MLP Opportunity Fund,n/a,n/a,SELL,2026,2017-10-16,6:05,36,Merrile,Emanuel,Female,China,Ziyang
4501fb81-330d-4aff-a9fd-1ed7884f8a41,EQM,"EQT Midstream Partners, LP",Natural Gas Distribution,Public Utilities,BUY,4069,2016-10-28,7:05,37,Marlane,MacTavish,Female,Brazil,Ribeirão da Ilha
bf76ed4f-b63e-4ce1-80d4-8cdd6a8c34d1,CPLA,Capella Education Company,Other Consumer Services,Consumer Services,SELL,8947,2016-09-14,19:12,38,Arlin,Giacobazzi,Male,Croatia,Vrbovec
ea5e3ce7-db7d-45bb-ab32-377af1ddf1d7,INGR,Ingredion Incorporated,Packaged Foods,Consumer Non-Durables,SELL,1862,2017-01-06,22:26,39,Gualterio,Kleewein,Male,Finland,Varkaus
bb49575a-51c4-4531-b6b2-1ff04a83e5e6,AJG,Arthur J. Gallagher & Co.,Specialty Insurers,Finance,SELL,6020,2017-03-26,23:08,40,Gillie,Wimpey,Female,Israel,Kefar Tavor
222d57b5-8d4b-44e7-ad23-567a84613e75,BGB,Blackstone / GSO Strategic Credit Fund,n/a,n/a,BUY,3940,2016-08-15,23:23,41,Lu,Clutram,Female,Panama,Nuevo Arraiján
829707c5-6413-408c-a526-90f5988b7a45,FSD,First Trust High Income Long Short Fund,n/a,n/a,BUY,7038,2017-03-14,1:13,42,Sibbie,Mortlock,Female,Czech Republic,Hostivice
c3b9e035-8885-4644-8b7b-891771f55788,LNGR,Global X Longevity Thematic ETF,n/a,n/a,BUY,3868,2017-01-26,16:42,43,Leila,Adam,Female,Serbia,Kikinda
fb409acf-793b-4ff7-a9e9-85259e7a24b9,TACOW,"Del Taco Restaurants, Inc.",Restaurants,Consumer Services,BUY,2179,2016-10-23,21:07,44,Forrester,Jeskin,Male,Mexico,Isidro Fabela
fc452d67-d890-4372-9401-2516b565ecfb,GMED,"Globus Medical, Inc.",Medical/Dental Instruments,Health Care,BUY,4743,2016-11-19,22:18,45,Val,Tumielli,Female,China,Wenjiao
f8e44c65-33fb-4ff8-93db-0ad34e0e2143,NNA,Navios Maritime Acquisition Corporation,Marine Transportation,Transportation,BUY,1319,2017-05-22,2:38,46,Luther,Kunc,Male,North Korea,Yuktae-dong
8cf181d6-e3a2-49b3-9827-2f275c972a15,USLM,"United States Lime & Minerals, Inc.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),Basic Industries,SELL,1906,2017-06-06,11:50,47,Bertie,McKitterick,Female,South Korea,Gyodong
063556b6-5538-40c3-bfea-bf2702dfb8d3,AEUA,Anadarko Petroleum Corporation,Oil & Gas Production,Energy,BUY,2812,2017-09-29,23:58,48,Zitella,Cumming,Female,Indonesia,Cibinong
d2f3c3e2-f020-42b4-969d-825764af4c9e,RPXC,RPX Corporation,Multi-Sector Companies,Miscellaneous,BUY,3705,2018-01-20,11:54,49,Abrahan,McKinlay,Male,Brazil,Fartura
e113a93b-7b9a-417d-bb80-34b726912237,GPE^A,Georgia Power Company,Electric Utilities: Central,Public Utilities,SELL,9410,2017-09-17,20:16,50,Nessa,Leahy,Female,Sweden,Valbo
5bd3f91c-56c3-44f2-b64b-c4bd921097cf,WB,Weibo Corporation,"Computer Software: Programming, Data Processing",Technology,SELL,1944,2016-08-21,17:00,51,Anabelle,Poate,Female,Indonesia,Kawangkoan
dc124f79-82b1-42fe-9952-403e3a1bb0af,MDGL,"Madrigal Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,SELL,745,2016-12-17,21:21,52,Crin,Gilfillan,Female,Greece,Foúrnoi
692b6717-9633-4140-8320-ae1ef6d21311,REX,REX American Resources Corporation,Major Chemicals,Basic Industries,BUY,2475,2018-01-31,7:24,53,Marsh,Botwright,Male,Poland,Podedwórze
5314e96e-740b-42f6-9718-c6f449ff758e,KIM^I,Kimco Realty Corporation,n/a,n/a,BUY,9175,2017-04-24,21:17,54,Merle,MacKonochie,Female,Indonesia,Tanahgrogot
d26aec3b-9cb3-4a4e-9ca1-b6a56c0627e4,ICUI,"ICU Medical, Inc.",Medical/Dental Instruments,Health Care,SELL,8008,2017-07-24,20:01,55,Shadow,Skerritt,Male,China,Poxi
e05ed474-beb8-44c5-b06a-890e3d563317,CCD,Calamos Dynamic Convertible & Income Fund,n/a,n/a,BUY,1519,2017-06-27,13:16,56,Johnna,Joule,Female,China,Jialu
fbf5abe6-153a-40bf-907f-7bc945ec8f12,HOVNP,Hovnanian Enterprises Inc,Homebuilding,Capital Goods,SELL,9278,2017-12-19,10:41,57,Merralee,Eatock,Female,Lithuania,Rusnė
4ebe6be1-3b6e-4f8d-9035-4085eea86a69,GYRO,"Gyrodyne , LLC",Building operators,Consumer Services,SELL,3580,2018-04-06,9:42,58,Darci,Hannabuss,Female,China,Hetou
200b0a3d-cd3c-4d01-a0c0-3e405087e845,PYS,PPlus Trust,Finance: Consumer Services,Finance,SELL,1565,2016-07-08,19:18,59,Rhianna,Noice,Female,Philippines,Bulacnin
1f25e5a6-7896-4303-8022-019f2cee7c03,BLRX,BioLineRx Ltd.,Major Pharmaceuticals,Health Care,SELL,6531,2017-07-21,7:23,60,Melisent,Telford,Female,Canada,Athabasca
ee99c197-e469-4b23-80d8-8fc357b840d1,CBM,Cambrex Corporation,Major Pharmaceuticals,Health Care,SELL,6799,2017-09-25,6:27,61,Teodor,Klimschak,Male,Russia,Krasnolesnyy
3f14bab8-cbba-4ef7-acaf-0cba536822b9,DAIO,Data I/O Corporation,Electrical Products,Capital Goods,SELL,4459,2016-12-21,3:17,62,Lek,Pocknoll,Male,Brazil,Valença
8f1692a2-1fd4-4b92-9e89-e2abcbddaa56,CKH,"SEACOR Holdings, Inc.",Marine Transportation,Transportation,BUY,6504,2017-07-11,20:01,63,Catina,MacKee,Female,Japan,Mibu
5eb53d9e-a4f4-4a5e-8ad5-49e536968d35,GPIC,Gaming Partners International Corporation,Recreational Products/Toys,Consumer Non-Durables,BUY,1753,2016-06-15,21:36,64,Clevie,Pickin,Male,China,Zaoxi
83f3f316-1821-4559-a5e3-df1e6bb1022d,WBS^E,Webster Financial Corporation,n/a,n/a,BUY,4493,2017-04-22,7:20,65,Carolee,Bowditch,Female,China,Sanshui
d937198e-f0bb-45bd-84a0-5f96efc7fc5e,PICO,PICO Holdings Inc.,Real Estate,Finance,BUY,5483,2018-01-02,21:40,66,Seumas,Roussel,Male,China,Shilong
05ad627f-f63b-459e-b814-db80dccfe45b,FPRX,"Five Prime Therapeutics, Inc.",Major Pharmaceuticals,Health Care,BUY,9138,2017-09-25,6:00,67,Ellis,Blaker,Male,Egypt,Damietta
da253e27-2f24-4566-ab3e-0c65046c7eb2,USLM,"United States Lime & Minerals, Inc.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),Basic Industries,SELL,5882,2016-05-16,17:30,68,Britt,Tofful,Female,Greece,Prámanta
cdbdae99-405f-45b2-afa5-2b80abe6560d,BCR,"C.R. Bard, Inc.",Medical/Dental Instruments,Health Care,BUY,9431,2017-12-02,20:38,69,Cyndy,Rising,Female,Mexico,Jose Maria Morelos
e3aa2455-620b-4038-90b2-7ef69a3747b8,GSVC,GSV Capital Corp,n/a,n/a,BUY,2643,2016-10-02,17:13,70,Adriane,Kilby,Female,China,Deqing
b7c5096d-dd36-4c34-8bae-01f82dff2d62,TPB,"Turning Point Brands, Inc.",Tobacco,Consumer Non-Durables,BUY,2194,2016-09-02,1:56,71,Kermie,Eatock,Male,Poland,Winnica
f422f17e-ae8c-420b-8941-ce7b3659f036,SNDR,"Schneider National, Inc.",Trucking Freight/Courier Services,Transportation,BUY,5799,2016-11-12,21:01,72,Pauline,Dreinan,Female,Czech Republic,Petřvald
ed868859-27a5-4d29-985a-6564191dcb29,CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,n/a,n/a,SELL,8239,2017-07-25,11:47,73,Melisa,Filmer,Female,Croatia,Baška Voda
2e45068b-2f8c-4cfb-8ba8-18e3ee597ff5,HOG,"Harley-Davidson, Inc.",Motor Vehicles,Consumer Non-Durables,BUY,2680,2018-01-31,15:16,74,Seward,Shadbolt,Male,Philippines,Canjulao
c4a3ab4c-cae8-4da1-bfeb-25dfdc3e9f92,ESEA,Euroseas Ltd.,Marine Transportation,Transportation,BUY,5422,2016-04-30,19:45,75,Jacki,Lindenberg,Female,Czech Republic,Bechyně
8e52bbfe-46ec-49a0-8a6b-9ea5aae16e65,GTIM,Good Times Restaurants Inc.,Restaurants,Consumer Services,SELL,8559,2017-06-08,13:25,76,Ramsey,Frie,Male,China,Xincheng
eb293f0f-0dc1-4cd2-b6c8-642099642d8a,BIT,BlackRock Multi-Sector Income Trust,n/a,n/a,BUY,9383,2016-07-11,3:06,77,Sheree,Northing,Female,Mexico,La Palma
dba5f652-d6dd-463b-a821-61e7ba194891,FOXF,Fox Factory Holding Corp.,Motor Vehicles,Consumer Non-Durables,SELL,5360,2017-01-24,22:15,78,Clark,Skinner,Male,Tunisia,Skhira
33581291-91b3-4769-ad15-cbd13af76e23,JHX,James Hardie Industries plc.,Building Materials,Capital Goods,BUY,2686,2017-03-10,5:42,79,Indira,Kingswold,Female,Ukraine,Markova
a2d7f260-f235-4304-adea-fea610aed67e,GILT,Gilat Satellite Networks Ltd.,Radio And Television Broadcasting And Communications Equipment,Technology,SELL,4269,2017-05-15,23:25,80,Alecia,Wynch,Female,Brazil,São José de Mipibu
a7aed468-9f96-4a19-a150-27edbc44b356,NWFL,Norwood Financial Corp.,Major Banks,Finance,SELL,8548,2018-04-06,23:36,81,Lenora,Dable,Female,China,Lijia
3ba62190-b3bf-49ef-b0b1-2e648deae6db,MORN,"Morningstar, Inc.",Investment Managers,Finance,SELL,7565,2016-06-21,9:23,82,Rhianna,Comusso,Female,Colombia,Murindó
1eb813b5-e1cb-458d-b5c8-61491a5192d1,SIVB,SVB Financial Group,Major Banks,Finance,SELL,3770,2018-02-27,9:46,83,Glenden,Melanaphy,Male,Canada,Devon
27c5ccfe-9b9d-40a7-b3ce-f9c9d707e97f,BSTG,"Biostage, Inc.",Medical/Dental Instruments,Health Care,SELL,3465,2016-12-10,1:06,84,Heida,McCobb,Female,Poland,Czchów
445dfe7e-2351-436f-ac1c-824a8b99210f,JE^A,"Just Energy Group, Inc.",n/a,n/a,BUY,1740,2017-12-21,18:14,85,Wrennie,Pallatina,Female,Poland,Piotrków Trybunalski
ee2b01aa-171d-42a8-b39a-6e49146f3fa5,VVV,Valvoline Inc.,Major Chemicals,Basic Industries,BUY,8357,2017-06-10,17:00,86,Bernie,Nealand,Male,Portugal,Corga
c9ab884a-27f9-4f0b-bda4-4ea3181d9c8b,MNP,"Western Asset Municipal Partners Fund, Inc.",n/a,n/a,SELL,4607,2016-11-29,15:45,87,Betteanne,O'Canavan,Female,China,Erdao
0e1c2581-b83f-4ce9-b06a-c46efb9d669d,CPSI,"Computer Programs and Systems, Inc.",EDP Services,Technology,SELL,2899,2016-05-28,11:36,88,Sapphira,Britt,Female,Madagascar,Farafangana
7ff5be3d-9b20-4083-88ba-500cfd4f6b92,ESEA,Euroseas Ltd.,Marine Transportation,Transportation,BUY,848,2017-09-28,22:24,89,Tobey,Birth,Female,China,Xincun
50ceb54c-2969-4e29-8f78-3ced647292ca,TREX,"Trex Company, Inc.",Forest Products,Basic Industries,BUY,6649,2016-11-26,11:24,90,Barri,Rickets,Male,Czech Republic,Bochov
6f07ab40-1a4a-4489-aab4-15a1ae3ce61a,GDI,"Gardner Denver Holdings, Inc.",Industrial Machinery/Components,Technology,SELL,8171,2017-08-30,19:34,91,Katey,Mounter,Female,Portugal,Marinhais
a8c90d11-6fad-4fb3-b40a-c46ce53499a5,OSB,Norbord Inc.,Forest Products,Basic Industries,BUY,9221,2017-05-02,18:57,92,Melisa,Baudassi,Female,Honduras,San Juan de Planes
2eda8b39-8ee4-4115-881e-0e16036c3e17,KRC^H,Kilroy Realty Corporation,n/a,n/a,SELL,5141,2018-02-08,17:11,93,Tyrone,Muzzlewhite,Male,Ethiopia,Dodola
e5325214-a508-4725-8638-9589103489f2,WHLRW,"Wheeler Real Estate Investment Trust, Inc.",Real Estate Investment Trusts,Consumer Services,SELL,3164,2017-08-30,1:32,94,Torrey,Scoyles,Male,Indonesia,Campurrejo
d20b8a94-b412-47d9-9f0d-7b0d935f9d28,FIX,"Comfort Systems USA, Inc.",Engineering & Construction,Capital Goods,SELL,8034,2017-08-17,18:06,95,Levin,Duerdin,Male,Canada,Casselman
2cc5b7cd-3f22-4558-ac1d-29e79ee55126,BGS,"B&G Foods, Inc.",Packaged Foods,Consumer Non-Durables,BUY,1184,2016-08-03,17:12,96,Brit,Glisenan,Female,Indonesia,Wewit
fd7cda0b-c027-42ff-9de0-6863dbc9892d,ADAP,Adaptimmune Therapeutics plc,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,BUY,1918,2017-01-12,13:21,97,Anastasie,Shimmin,Female,Yemen,Al Maḩjal
e296b842-dec5-4e56-bf74-7427d7a777d1,CHSCM,CHS Inc,Farming/Seeds/Milling,Consumer Services,SELL,3690,2017-02-28,2:20,98,Kort,Sumner,Male,China,Junxi
f9c16700-1c76-4cfc-9cd7-86a5c4ddb218,SUMR,"Summer Infant, Inc.",Miscellaneous manufacturing industries,Consumer Durables,SELL,5018,2017-02-06,13:55,99,Maggie,Sodory,Female,Russia,Novoshakhtinskiy
584b591e-6db2-45d7-8a3b-d513844b69ac,CEMI,"Chembio Diagnostics, Inc.",Major Pharmaceuticals,Health Care,BUY,5683,2017-08-24,20:25,100,Aaren,Grace,Female,Austria,Sankt Andrä-Höch
e3779706-0d5a-4173-96c2-cc2be4597f86,MLNK,"ModusLink Global Solutions, Inc",Business Services,Miscellaneous,SELL,5436,2018-02-09,11:53,101,Sig,Pioli,Male,Poland,Kolsko
095239fc-dfd2-491a-8a49-a57e5353babf,WBS,Webster Financial Corporation,Major Banks,Finance,BUY,453,2017-06-05,10:46,102,Wright,Pavey,Male,China,Hengshui
a108ab6c-e267-4cf1-8a4c-e58c1708bae7,GUID,"Guidance Software, Inc.",Computer Software: Prepackaged Software,Technology,SELL,9552,2016-07-21,6:50,103,Renate,Chessill,Female,Myanmar,Syriam
3700de67-dfb6-45a3-b359-0d6e9e894451,EA,Electronic Arts Inc.,Computer Software: Prepackaged Software,Technology,SELL,3166,2017-08-24,18:17,104,Rebekkah,Bowry,Female,Indonesia,Anin
4011f160-be33-464a-8d9b-ae447f58cc7d,ATRO,Astronics Corporation,Military/Government/Technical,Capital Goods,BUY,1691,2017-12-07,23:05,105,Eben,Skocroft,Male,China,Wujian
77e69feb-ffd4-40d6-aa58-309c69ed450a,BSL,Blackstone GSO Senior Floating Rate Term Fund,n/a,n/a,SELL,9919,2016-12-07,8:58,106,Mabelle,Arbuckle,Female,Turkmenistan,Türkmenbaşy
2d947055-930e-4b29-8b2e-7e6b029a8521,ALGT,Allegiant Travel Company,Air Freight/Delivery Services,Transportation,BUY,8823,2016-12-21,11:19,107,Hyacinthe,Densumbe,Female,Mongolia,Balgatay
994f5e2b-2094-4362-891d-cf0b15b25019,EGOV,NIC Inc.,Business Services,Miscellaneous,SELL,9616,2017-08-24,11:21,108,Jessalin,Saladine,Female,China,Siyang
172f93bc-41b1-45ff-b0e6-62d123b7d993,SRLP,Sprague Resources LP,Oil Refining/Marketing,Energy,BUY,8189,2017-08-11,3:30,109,Kalinda,Canet,Female,Mexico,Lagunillas
60d6d276-fe6d-4703-875d-2e10a6c5ea8a,NTG,"Tortoise MLP Fund, Inc.",n/a,n/a,BUY,2505,2017-12-27,1:02,110,Patric,Carnock,Male,Philippines,Himensulan
d285e6e6-8fd4-4d4f-9aaa-3d68b82ffe12,FLN,First Trust Latin America AlphaDEX Fund,n/a,n/a,SELL,2694,2016-08-29,5:49,111,Melania,Jacquemet,Female,Egypt,Sumusţā as Sulţānī
e4de87cd-be1e-408b-944e-8d8934872398,NP,"Neenah Paper, Inc.",Paper,Basic Industries,SELL,1168,2016-12-15,1:09,112,Gabe,Musker,Male,Indonesia,Mulyo
bfa2749f-bc01-4b0f-a0ac-06e6221407d9,FEI           ,First Trust MLP and Energy Income Fund,n/a,n/a,SELL,7163,2018-03-22,13:05,113,Hestia,Leftbridge,Female,Guatemala,San Miguel Chicaj
193af112-839c-4c01-a907-7f623715bf36,GOGL,Golden Ocean Group Limited,Marine Transportation,Consumer Services,BUY,878,2016-10-08,6:25,114,Larry,Barrabeale,Male,China,Tuanzhou
0e7f980e-be6b-4bc2-909b-e1f689b84cd9,PH,Parker-Hannifin Corporation,Metal Fabrications,Capital Goods,SELL,8540,2017-04-19,18:51,115,Willa,Glassman,Female,France,Frontignan
df08a828-77d0-4699-a0a5-32cce764b965,ARCB,ArcBest Corporation,Trucking Freight/Courier Services,Transportation,BUY,5957,2017-10-15,8:27,116,Orran,Aleksich,Male,Brazil,Itapevi
8b7941f4-b1c2-4784-b488-0aac755a3183,FRC^E,FIRST REPUBLIC BANK,n/a,n/a,BUY,9985,2016-06-16,16:06,117,Lucho,Peirone,Male,Brazil,Não Me Toque
b8519824-0625-4241-b65b-d8398a500f18,HTHT,"China Lodging Group, Limited",Hotels/Resorts,Consumer Services,SELL,3657,2017-07-26,18:22,118,Audrey,Blankhorn,Female,Philippines,Batan
dab64968-9b79-4767-b85d-1f0d03aac21b,SPB           ,"Spectrum Brands Holdings, Inc.",Industrial Machinery/Components,Miscellaneous,BUY,8492,2016-05-11,16:39,119,Babb,Phin,Female,Indonesia,Oeri’u
7b797b4c-4727-405a-8b70-e7a6636b9832,PMC,Pharmerica Corporation,Medical/Nursing Services,Health Care,BUY,3242,2016-08-06,14:06,120,Udell,Lube,Male,Mongolia,Chandmanĭ
091c45fb-98ab-4886-9048-79a970855eb0,CYS^A,"CYS Investments, Inc.",n/a,n/a,BUY,764,2017-06-21,23:49,121,Georgetta,Adshede,Female,Canada,Magog
cf4cdc0e-b80f-4deb-a0c2-c6707feffc3f,SDR,SandRidge Mississippian Trust II,Oil & Gas Production,Energy,SELL,6645,2018-02-05,18:08,122,Jo,Newing,Male,China,Pingling
c6263cd4-ae8c-4762-9eeb-4801dfa36b2d,NATH,"Nathan's Famous, Inc.",Restaurants,Consumer Services,SELL,1685,2017-02-16,8:46,123,Leilah,Yemm,Female,Indonesia,Masaran
63e1bda1-2e1b-4a4e-84b6-75901c3a7f09,FBC,"Flagstar Bancorp, Inc.",Savings Institutions,Finance,SELL,222,2017-12-18,7:13,124,Nani,MacClure,Female,Slovenia,Polzela
61beb20a-4ca7-4a65-9000-5361318c43a6,LVHD,Legg Mason Low Volatility High Dividend ETF,n/a,n/a,SELL,7175,2017-03-29,4:50,125,Andee,Kornyshev,Female,Indonesia,Jampang Tengah
fff473a9-a341-4214-a78c-3996d3b42de3,LNDC,Landec Corporation,Major Chemicals,Basic Industries,SELL,6636,2017-12-10,3:56,126,Oriana,Westwell,Female,Poland,Gierałtowice
1bc5fdac-1788-419b-a2fa-379c4b5eda6c,FPXI,First Trust International IPO ETF,n/a,n/a,BUY,9607,2018-01-20,20:42,127,Vanessa,Cranna,Female,Russia,Korkino
